Name, Momentum, Velocity, Mass, Dist->BH, Active, Black Hole Mass, Date/Time
Orb,2.236068,0,5,0,True,500,2022-Nov-18 @ Time 21:01:33
Orb (3),3.008322,0,5,0,True,500,2022-Nov-18 @ Time 21:01:33
GiantCelestialBody,57.00877,0,50,0,True,500,2022-Nov-18 @ Time 21:01:33
Orb (1),1.389244,0,5,0,True,500,2022-Nov-18 @ Time 21:01:33
Orb (2),1.749286,0,5,0,True,500,2022-Nov-18 @ Time 21:01:33
GiantCelestialBody (1),75.16648,0,50,0,True,500,2022-Nov-18 @ Time 21:01:33
GiantCelestialBody (4),50.24938,0,50,0,True,500,2022-Nov-18 @ Time 21:01:33
GiantCelestialBody (3),36.40055,0,50,0,True,500,2022-Nov-18 @ Time 21:01:33
GiantCelestialBody (2),41.23106,0,50,0,True,500,2022-Nov-18 @ Time 21:01:33
Orb (1),72.28493,14.45699,5,1.261673,False,505,2022-Nov-18 @ Time 21:01:39
Orb,2.60726,0.521452,5,40.51295,True,505,2022-Nov-18 @ Time 21:01:40
Orb (3),7.621034,1.524207,5,24.90831,True,505,2022-Nov-18 @ Time 21:01:40
GiantCelestialBody,105.1092,2.102184,50,23.19238,True,505,2022-Nov-18 @ Time 21:01:40
Orb (2),14.45971,2.891942,5,10.60717,True,505,2022-Nov-18 @ Time 21:01:40
GiantCelestialBody (1),84.71867,1.694373,50,63.22662,True,505,2022-Nov-18 @ Time 21:01:40
GiantCelestialBody (4),168.1455,3.362909,50,11.96846,True,505,2022-Nov-18 @ Time 21:01:40
GiantCelestialBody (3),56.29573,1.125915,50,30.42502,True,505,2022-Nov-18 @ Time 21:01:40
GiantCelestialBody (2),128.6553,2.573106,50,14.02808,True,505,2022-Nov-18 @ Time 21:01:40
GiantCelestialBody (4),644.9321,12.89864,50,1.607966,False,555,2022-Nov-18 @ Time 21:01:42
Orb (2),76.82333,15.36467,5,1.106545,False,560,2022-Nov-18 @ Time 21:01:42
GiantCelestialBody (2),653.2665,13.06533,50,1.647374,False,610,2022-Nov-18 @ Time 21:01:43
Orb,5.534415,1.106883,5,36.87558,True,610,2022-Nov-18 @ Time 21:01:45
Orb (3),18.21644,3.643288,5,13.82681,True,610,2022-Nov-18 @ Time 21:01:45
GiantCelestialBody,273.8587,5.477174,50,8.194089,True,610,2022-Nov-18 @ Time 21:01:45
GiantCelestialBody (1),97.70757,1.954152,50,54.58627,True,610,2022-Nov-18 @ Time 21:01:45
GiantCelestialBody (3),101.9855,2.039711,50,24.01393,True,610,2022-Nov-18 @ Time 21:01:45
GiantCelestialBody,672.5355,13.45071,50,1.743188,False,660,2022-Nov-18 @ Time 21:01:46
Orb (3),81.83638,16.36728,5,1.333129,False,665,2022-Nov-18 @ Time 21:01:47
