Date/Time, Black Hole Mass, Radius, Gravitational Pull
2022-Nov-21 @ Time 17:21:01,505,0.994888586589419,1.70262177204801E-07
2022-Nov-21 @ Time 17:21:05,555,1.09339247311845,1.54923232959342E-06
2022-Nov-21 @ Time 17:21:05,560,1.10324285575916,1.5353998980792E-07
2022-Nov-21 @ Time 17:21:05,610,1.20174668216623,1.40954744741697E-06
2022-Nov-21 @ Time 17:21:08,660,1.30025050857329,1.30276354988538E-06
2022-Nov-21 @ Time 17:21:10,665,1.310100891214,1.29296833522459E-07
2022-Nov-21 @ Time 17:21:20,670,1.31995127385471,1.28331931779754E-07
