Name, Momentum, Velocity, Mass, Dist->BH, Active, Black Hole Mass, Date/Time
Orb,2.236068,0,5,0,True,500,2022-Nov-18 @ Time 21:25:55
Orb (3),3.008322,0,5,0,True,500,2022-Nov-18 @ Time 21:25:55
GiantCelestialBody,57.00877,0,50,0,True,500,2022-Nov-18 @ Time 21:25:55
Orb (1),1.389244,0,5,0,True,500,2022-Nov-18 @ Time 21:25:55
Orb (2),1.749286,0,5,0,True,500,2022-Nov-18 @ Time 21:25:55
GiantCelestialBody (1),75.16648,0,50,0,True,500,2022-Nov-18 @ Time 21:25:55
GiantCelestialBody (4),50.24938,0,50,0,True,500,2022-Nov-18 @ Time 21:25:55
GiantCelestialBody (3),36.40055,0,50,0,True,500,2022-Nov-18 @ Time 21:25:55
GiantCelestialBody (2),41.23106,0,50,0,True,500,2022-Nov-18 @ Time 21:25:55
Orb (1),72.28493,14.45699,5,1.261673,False,505,2022-Nov-18 @ Time 21:26:01
Orb,2.60726,0.521452,5,40.51295,True,505,2022-Nov-18 @ Time 21:26:02
Orb (3),7.621034,1.524207,5,24.90831,True,505,2022-Nov-18 @ Time 21:26:02
GiantCelestialBody,105.1092,2.102184,50,23.19238,True,505,2022-Nov-18 @ Time 21:26:02
Orb (2),14.45971,2.891942,5,10.60717,True,505,2022-Nov-18 @ Time 21:26:02
GiantCelestialBody (1),84.71867,1.694373,50,63.22662,True,505,2022-Nov-18 @ Time 21:26:02
GiantCelestialBody (4),168.1455,3.362909,50,11.96846,True,505,2022-Nov-18 @ Time 21:26:02
GiantCelestialBody (3),56.29573,1.125915,50,30.42502,True,505,2022-Nov-18 @ Time 21:26:02
GiantCelestialBody (2),128.6553,2.573106,50,14.02808,True,505,2022-Nov-18 @ Time 21:26:02
GiantCelestialBody (4),644.9321,12.89864,50,1.607966,False,555,2022-Nov-18 @ Time 21:26:04
Orb (2),76.82333,15.36467,5,1.106545,False,560,2022-Nov-18 @ Time 21:26:05
GiantCelestialBody (2),653.2665,13.06533,50,1.647374,False,610,2022-Nov-18 @ Time 21:26:05
Orb,5.54766,1.109532,5,36.85447,True,610,2022-Nov-18 @ Time 21:26:07
Orb (3),18.3022,3.66044,5,13.75779,True,610,2022-Nov-18 @ Time 21:26:07
GiantCelestialBody,276.0549,5.521098,50,8.095456,True,610,2022-Nov-18 @ Time 21:26:07
GiantCelestialBody (1),97.76904,1.955381,50,54.5492,True,610,2022-Nov-18 @ Time 21:26:07
GiantCelestialBody (3),102.2392,2.044784,50,23.97806,True,610,2022-Nov-18 @ Time 21:26:07
GiantCelestialBody,672.5355,13.45071,50,1.743188,False,660,2022-Nov-18 @ Time 21:26:08
Orb (3),81.83638,16.36728,5,1.333129,False,665,2022-Nov-18 @ Time 21:26:09
Orb,9.503997,1.900799,5,29.6871,True,665,2022-Nov-18 @ Time 21:26:12
GiantCelestialBody (1),116.9488,2.338976,50,44.38969,True,665,2022-Nov-18 @ Time 21:26:12
GiantCelestialBody (3),240.1184,4.802368,50,10.3721,True,665,2022-Nov-18 @ Time 21:26:12
Orb,17.93033,3.586066,5,17.00779,True,665,2022-Nov-18 @ Time 21:26:17
GiantCelestialBody (1),147.291,2.945821,50,32.06776,True,665,2022-Nov-18 @ Time 21:26:17
GiantCelestialBody (3),164.4041,3.288082,50,16.08736,True,665,2022-Nov-18 @ Time 21:26:17
Orb,88.27256,17.65451,5,1.213789,False,670,2022-Nov-18 @ Time 21:26:20
GiantCelestialBody (1),225.0179,4.500359,50,15.66388,True,670,2022-Nov-18 @ Time 21:26:22
GiantCelestialBody (3),79.52864,1.590573,50,26.06519,True,670,2022-Nov-18 @ Time 21:26:22
GiantCelestialBody (1),252.3736,5.047471,50,12.92332,True,670,2022-Nov-18 @ Time 21:26:27
GiantCelestialBody (3),43.61018,0.8722035,50,29.77341,True,670,2022-Nov-18 @ Time 21:26:27
GiantCelestialBody (1),189.745,3.7949,50,31.86716,True,670,2022-Nov-18 @ Time 21:26:32
GiantCelestialBody (3),48.5302,0.9706039,50,27.51873,True,670,2022-Nov-18 @ Time 21:26:32
Orb(Clone)9,12.76655,0,5,0,True,670,2022-Nov-18 @ Time 21:26:35
Orb(Clone)10,23.57817,0,5,0,True,670,2022-Nov-18 @ Time 21:26:35
Orb(Clone)11,23.34585,0,5,0,True,670,2022-Nov-18 @ Time 21:26:36
Orb(Clone)12,3.615285,0,5,0,True,670,2022-Nov-18 @ Time 21:26:36
Orb(Clone)13,16.82616,0,5,0,True,670,2022-Nov-18 @ Time 21:26:36
Orb(Clone)13,17.43606,3.487212,5,21.85756,True,670,2022-Nov-18 @ Time 21:26:37
Orb(Clone)12,6.026945,1.205389,5,20.65065,True,670,2022-Nov-18 @ Time 21:26:37
Orb(Clone)11,24.36271,4.872542,5,33.28796,True,670,2022-Nov-18 @ Time 21:26:37
Orb(Clone)10,22.871,4.574201,5,53.86543,True,670,2022-Nov-18 @ Time 21:26:37
Orb(Clone)9,13.6463,2.72926,5,39.39064,True,670,2022-Nov-18 @ Time 21:26:37
GiantCelestialBody (1),139.7987,2.795974,50,44.69612,True,670,2022-Nov-18 @ Time 21:26:37
GiantCelestialBody (3),82.23636,1.644727,50,22.57921,True,670,2022-Nov-18 @ Time 21:26:37
Orb(Clone)13,22.87438,4.574875,5,13.7562,True,670,2022-Nov-18 @ Time 21:26:42
Orb(Clone)12,27.90998,5.581995,5,9.065126,True,670,2022-Nov-18 @ Time 21:26:42
Orb(Clone)11,40.07609,8.015217,5,7.067635,True,670,2022-Nov-18 @ Time 21:26:42
Orb(Clone)10,21.76749,4.353498,5,74.31299,True,670,2022-Nov-18 @ Time 21:26:42
Orb(Clone)9,16.18551,3.237103,5,30.16427,True,670,2022-Nov-18 @ Time 21:26:42
GiantCelestialBody (1),121.8393,2.436786,50,55.74615,True,670,2022-Nov-18 @ Time 21:26:42
GiantCelestialBody (3),262.9491,5.258981,50,8.634233,True,670,2022-Nov-18 @ Time 21:26:42
Orb(Clone)10,21.73818,4.347637,5,75.0464,False,670,2022-Nov-18 @ Time 21:26:42
GiantCelestialBody (3),694.1394,13.88279,50,1.755215,False,720,2022-Nov-18 @ Time 21:26:43
Orb(Clone)13,20.89728,4.179455,5,15.99737,True,720,2022-Nov-18 @ Time 21:26:47
Orb(Clone)12,42.41363,8.482726,5,25.83552,True,720,2022-Nov-18 @ Time 21:26:47
Orb(Clone)11,34.47342,6.894685,5,32.12311,True,720,2022-Nov-18 @ Time 21:26:47
Orb(Clone)9,19.53975,3.90795,5,21.96021,True,720,2022-Nov-18 @ Time 21:26:47
GiantCelestialBody (1),110.4574,2.209147,50,65.83824,True,720,2022-Nov-18 @ Time 21:26:47
Orb(Clone)13,15.15441,3.030882,5,24.69822,True,720,2022-Nov-18 @ Time 21:26:52
Orb(Clone)12,39.27858,7.855715,5,52.41703,True,720,2022-Nov-18 @ Time 21:26:52
Orb(Clone)11,32.27364,6.454727,5,66.31906,True,720,2022-Nov-18 @ Time 21:26:52
Orb(Clone)9,20.86577,4.173153,5,19.59161,True,720,2022-Nov-18 @ Time 21:26:52
GiantCelestialBody (1),101.8866,2.037731,50,75.27382,True,720,2022-Nov-18 @ Time 21:26:52
Orb(Clone)11,32.01359,6.402718,5,75.10655,False,720,2022-Nov-18 @ Time 21:26:54
Orb(Clone)12,38.25836,7.651672,5,75.06854,False,720,2022-Nov-18 @ Time 21:26:57
Orb(Clone)13,11.79881,2.359762,5,32.44195,True,720,2022-Nov-18 @ Time 21:26:57
Orb(Clone)9,17.92093,3.584185,5,25.8161,True,720,2022-Nov-18 @ Time 21:26:57
GiantCelestialBody (1),95.10838,1.902168,50,84.13715,True,720,2022-Nov-18 @ Time 21:26:57
