Name, Momentum, Velocity, Mass, Dist->BH, Active, Black Hole Mass, Date/Time
Orb,2.236068,0,5,0,True,500,2022-Nov-20 @ Time 20:42:50
Orb (3),3.008322,0,5,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody,57.00877,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
Orb (1),1.389244,0,5,0,True,500,2022-Nov-20 @ Time 20:42:50
Orb (2),1.749286,0,5,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody (1),75.16648,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody (4),50.24938,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody (3),36.40055,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
GiantCelestialBody (2),41.23106,0,50,0,True,500,2022-Nov-20 @ Time 20:42:50
Orb (1),72.28493,14.45699,5,1.261673,False,505,2022-Nov-20 @ Time 20:42:58
Orb,2.61634,0.523268,5,40.50484,True,505,2022-Nov-20 @ Time 20:42:59
Orb (3),7.645762,1.529152,5,24.88099,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody,105.3924,2.107849,50,23.15392,True,505,2022-Nov-20 @ Time 20:42:59
Orb (2),14.5827,2.91654,5,10.55456,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (1),84.76231,1.695246,50,63.19455,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (4),169.0927,3.381854,50,11.90498,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (3),56.42155,1.128431,50,30.40828,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (2),129.2851,2.585701,50,13.98221,True,505,2022-Nov-20 @ Time 20:42:59
GiantCelestialBody (4),644.9321,12.89864,50,1.607966,False,555,2022-Nov-20 @ Time 20:43:01
Orb (2),76.82333,15.36467,5,1.106545,False,560,2022-Nov-20 @ Time 20:43:02
GiantCelestialBody (2),653.2665,13.06533,50,1.647374,False,610,2022-Nov-20 @ Time 20:43:02
Orb,5.54766,1.109532,5,36.85447,True,610,2022-Nov-20 @ Time 20:43:04
Orb (3),18.3022,3.66044,5,13.75779,True,610,2022-Nov-20 @ Time 20:43:04
GiantCelestialBody,276.0549,5.521098,50,8.095456,True,610,2022-Nov-20 @ Time 20:43:04
GiantCelestialBody (1),97.76904,1.955381,50,54.5492,True,610,2022-Nov-20 @ Time 20:43:04
GiantCelestialBody (3),102.2392,2.044784,50,23.97806,True,610,2022-Nov-20 @ Time 20:43:04
GiantCelestialBody,672.5355,13.45071,50,1.743188,False,660,2022-Nov-20 @ Time 20:43:05
Orb (3),81.83638,16.36728,5,1.333129,False,665,2022-Nov-20 @ Time 20:43:06
Orb,9.503997,1.900799,5,29.6871,True,665,2022-Nov-20 @ Time 20:43:09
GiantCelestialBody (1),116.9488,2.338976,50,44.38969,True,665,2022-Nov-20 @ Time 20:43:09
GiantCelestialBody (3),240.1184,4.802368,50,10.3721,True,665,2022-Nov-20 @ Time 20:43:09
Orb,17.99141,3.598282,5,16.93763,True,665,2022-Nov-20 @ Time 20:43:14
GiantCelestialBody (1),147.4568,2.949136,50,32.01253,True,665,2022-Nov-20 @ Time 20:43:14
GiantCelestialBody (3),163.812,3.276241,50,16.14594,True,665,2022-Nov-20 @ Time 20:43:14
Orb,88.27256,17.65451,5,1.213789,False,670,2022-Nov-20 @ Time 20:43:17
GiantCelestialBody (1),225.6586,4.513171,50,15.58359,True,670,2022-Nov-20 @ Time 20:43:19
GiantCelestialBody (3),79.31975,1.586395,50,26.09051,True,670,2022-Nov-20 @ Time 20:43:19
GiantCelestialBody (1),251.5116,5.030231,50,13.01154,True,670,2022-Nov-20 @ Time 20:43:24
GiantCelestialBody (3),43.5392,0.8707839,50,29.778,True,670,2022-Nov-20 @ Time 20:43:24
GiantCelestialBody (1),190.7052,3.814105,50,31.74322,True,670,2022-Nov-20 @ Time 20:43:29
GiantCelestialBody (3),48.83597,0.9767195,50,27.55215,True,670,2022-Nov-20 @ Time 20:43:29
GiantCelestialBody(Clone)9,94.74699,0,50,0,True,670,2022-Nov-20 @ Time 20:44:41
GiantCelestialBody(Clone)10,112.6309,0,50,0,True,670,2022-Nov-20 @ Time 20:44:42
GiantCelestialBody(Clone)11,120.7927,0,50,0,True,670,2022-Nov-20 @ Time 20:44:42
GiantCelestialBody(Clone)12,79.36477,0,50,0,True,670,2022-Nov-20 @ Time 20:44:45
GiantCelestialBody(Clone)13,121.2346,0,50,0,True,670,2022-Nov-20 @ Time 20:44:46
GiantCelestialBody(Clone)13,121.8035,2.436071,50,51.68391,True,670,2022-Nov-20 @ Time 20:44:49
GiantCelestialBody(Clone)12,75.46252,1.509251,50,36.31548,True,670,2022-Nov-20 @ Time 20:44:49
GiantCelestialBody(Clone)11,71.87407,1.437481,50,25.28167,True,670,2022-Nov-20 @ Time 20:44:49
GiantCelestialBody(Clone)10,99.63393,1.992679,50,29.25203,True,670,2022-Nov-20 @ Time 20:44:49
GiantCelestialBody(Clone)9,159.379,3.187579,50,26.89931,True,670,2022-Nov-20 @ Time 20:44:49
GiantCelestialBody (1),138.7998,2.775995,50,44.59036,True,670,2022-Nov-20 @ Time 20:44:49
GiantCelestialBody (3),82.09505,1.641901,50,22.6013,True,670,2022-Nov-20 @ Time 20:44:49
Orb(Clone)14,8.386328,0,5,0,True,670,2022-Nov-20 @ Time 20:44:50
Orb(Clone)15,7.990588,0,5,0,True,670,2022-Nov-20 @ Time 20:44:50
Orb(Clone)16,25.28911,0,5,0,True,670,2022-Nov-20 @ Time 20:44:52
Orb(Clone)14,79.76526,15.95305,5,1.298288,False,675,2022-Nov-20 @ Time 20:44:52
Orb(Clone)16,27.7023,5.540461,5,7.617965,True,675,2022-Nov-20 @ Time 20:44:54
Orb(Clone)15,5.747441,1.149488,5,16.67023,True,675,2022-Nov-20 @ Time 20:44:54
GiantCelestialBody(Clone)13,123.2867,2.465734,50,50.01511,True,675,2022-Nov-20 @ Time 20:44:54
GiantCelestialBody(Clone)12,72.14519,1.442904,50,40.8067,True,675,2022-Nov-20 @ Time 20:44:54
GiantCelestialBody(Clone)11,14.91262,0.2982523,50,24.0378,True,675,2022-Nov-20 @ Time 20:44:54
GiantCelestialBody(Clone)10,93.93247,1.878649,50,33.49366,True,675,2022-Nov-20 @ Time 20:44:54
GiantCelestialBody(Clone)9,69.90406,1.398081,50,27.92351,True,675,2022-Nov-20 @ Time 20:44:54
GiantCelestialBody (1),108.0378,2.160757,50,54.29039,True,675,2022-Nov-20 @ Time 20:44:54
GiantCelestialBody (3),267.3699,5.347399,50,8.577409,True,675,2022-Nov-20 @ Time 20:44:54
GiantCelestialBody (3),683.4604,13.66921,50,1.872558,False,725,2022-Nov-20 @ Time 20:44:55
Orb(Clone)15,82.92503,16.585,5,1.402865,False,730,2022-Nov-20 @ Time 20:44:59
Orb(Clone)16,8.228218,1.645644,5,17.87981,True,730,2022-Nov-20 @ Time 20:44:59
GiantCelestialBody(Clone)13,124.1755,2.48351,50,49.15937,True,730,2022-Nov-20 @ Time 20:44:59
GiantCelestialBody(Clone)12,57.20635,1.144127,50,44.35746,True,730,2022-Nov-20 @ Time 20:44:59
GiantCelestialBody(Clone)11,95.11851,1.90237,50,20.01003,True,730,2022-Nov-20 @ Time 20:44:59
GiantCelestialBody(Clone)10,124.3683,2.487367,50,31.18975,True,730,2022-Nov-20 @ Time 20:44:59
GiantCelestialBody(Clone)9,115.5389,2.310779,50,20.73055,True,730,2022-Nov-20 @ Time 20:44:59
GiantCelestialBody (1),85.75401,1.71508,50,61.41724,True,730,2022-Nov-20 @ Time 20:44:59
Orb(Clone)16,14.46072,2.892144,5,14.45906,True,730,2022-Nov-20 @ Time 20:45:04
GiantCelestialBody(Clone)13,124.1497,2.482995,50,49.14916,True,730,2022-Nov-20 @ Time 20:45:04
GiantCelestialBody(Clone)12,46.51239,0.9302478,50,46.13075,True,730,2022-Nov-20 @ Time 20:45:04
GiantCelestialBody(Clone)11,435.0743,8.701487,50,5.164558,True,730,2022-Nov-20 @ Time 20:45:04
GiantCelestialBody(Clone)10,173.5082,3.470164,50,23.6807,True,730,2022-Nov-20 @ Time 20:45:04
GiantCelestialBody(Clone)9,360.4831,7.209661,50,4.959841,True,730,2022-Nov-20 @ Time 20:45:04
GiantCelestialBody (1),71.6882,1.433764,50,67.06248,True,730,2022-Nov-20 @ Time 20:45:04
GiantCelestialBody(Clone)9,706.2422,14.12484,50,1.815839,False,780,2022-Nov-20 @ Time 20:45:05
Orb(Clone)16,22.70009,4.540018,5,10.12018,True,780,2022-Nov-20 @ Time 20:45:09
GiantCelestialBody(Clone)13,122.9819,2.459637,50,49.89581,True,780,2022-Nov-20 @ Time 20:45:09
GiantCelestialBody(Clone)12,47.61067,0.9522135,50,45.71181,True,780,2022-Nov-20 @ Time 20:45:09
GiantCelestialBody(Clone)11,188.3815,3.76763,50,22.52028,True,780,2022-Nov-20 @ Time 20:45:09
GiantCelestialBody(Clone)10,229.3774,4.587547,50,15.94204,True,780,2022-Nov-20 @ Time 20:45:09
GiantCelestialBody (1),61.35391,1.227078,50,71.58852,True,780,2022-Nov-20 @ Time 20:45:09
Orb(Clone)16,7.711431,1.542286,5,18.87605,True,780,2022-Nov-20 @ Time 20:45:14
GiantCelestialBody(Clone)13,120.4484,2.408969,50,51.20453,True,780,2022-Nov-20 @ Time 20:45:14
GiantCelestialBody(Clone)12,60.97206,1.219441,50,42.89235,True,780,2022-Nov-20 @ Time 20:45:14
GiantCelestialBody(Clone)11,130.759,2.615179,50,36.21486,True,780,2022-Nov-20 @ Time 20:45:14
GiantCelestialBody(Clone)10,212.3658,4.247315,50,18.21651,True,780,2022-Nov-20 @ Time 20:45:14
GiantCelestialBody (1),53.6597,1.073194,50,75.08623,True,780,2022-Nov-20 @ Time 20:45:14
Orb(Clone)16,13.631,2.7262,5,15.05345,True,780,2022-Nov-20 @ Time 20:45:19
GiantCelestialBody(Clone)13,117.1891,2.343781,50,52.93108,True,780,2022-Nov-20 @ Time 20:45:19
GiantCelestialBody(Clone)12,84.67001,1.6934,50,37.50802,True,780,2022-Nov-20 @ Time 20:45:19
GiantCelestialBody(Clone)11,100.1659,2.003317,50,46.50174,True,780,2022-Nov-20 @ Time 20:45:19
GiantCelestialBody(Clone)10,163.8324,3.276647,50,27.49362,True,780,2022-Nov-20 @ Time 20:45:19
GiantCelestialBody (1),48.32101,0.9664203,50,77.68717,True,780,2022-Nov-20 @ Time 20:45:19
Orb(Clone)16,23.05486,4.610972,5,9.886179,True,780,2022-Nov-20 @ Time 20:45:24
GiantCelestialBody(Clone)13,113.3965,2.267931,50,54.94795,True,780,2022-Nov-20 @ Time 20:45:24
GiantCelestialBody(Clone)12,124.0701,2.481402,50,28.91957,True,780,2022-Nov-20 @ Time 20:45:24
GiantCelestialBody(Clone)11,79.07006,1.581401,50,54.50963,True,780,2022-Nov-20 @ Time 20:45:24
GiantCelestialBody(Clone)10,130.971,2.61942,50,36.85313,True,780,2022-Nov-20 @ Time 20:45:24
GiantCelestialBody (1),45.11742,0.9023483,50,79.46198,True,780,2022-Nov-20 @ Time 20:45:24
Orb(Clone)16,6.933749,1.38675,5,19.08393,True,780,2022-Nov-20 @ Time 20:45:29
GiantCelestialBody(Clone)13,110.9912,2.219823,50,57.3596,True,780,2022-Nov-20 @ Time 20:45:29
GiantCelestialBody(Clone)12,220.2644,4.405289,50,14.99324,True,780,2022-Nov-20 @ Time 20:45:29
GiantCelestialBody(Clone)11,62.22631,1.244526,50,60.77482,True,780,2022-Nov-20 @ Time 20:45:29
GiantCelestialBody(Clone)10,109.7337,2.194675,50,45.00157,True,780,2022-Nov-20 @ Time 20:45:29
GiantCelestialBody (1),44.30145,0.8860289,50,80.42291,True,780,2022-Nov-20 @ Time 20:45:29
Orb(Clone)16,13.69319,2.738637,5,15.1927,True,780,2022-Nov-20 @ Time 20:45:34
GiantCelestialBody(Clone)13,109.9848,2.199697,50,60.29234,True,780,2022-Nov-20 @ Time 20:45:34
