Name, Momentum, Velocity, Mass, Dist->BH, Active, Black Hole Mass, Date/Time
Orb,2.236068,0,5,0,True,500,2022-Nov-21 @ Time 12:07:48
Orb (3),3.008322,0,5,0,True,500,2022-Nov-21 @ Time 12:07:48
GiantCelestialBody,57.00877,0,50,0,True,500,2022-Nov-21 @ Time 12:07:48
Orb (1),1.389244,0,5,0,True,500,2022-Nov-21 @ Time 12:07:48
Orb (2),1.749286,0,5,0,True,500,2022-Nov-21 @ Time 12:07:48
GiantCelestialBody (1),75.16648,0,50,0,True,500,2022-Nov-21 @ Time 12:07:48
GiantCelestialBody (4),50.24938,0,50,0,True,500,2022-Nov-21 @ Time 12:07:48
GiantCelestialBody (3),36.40055,0,50,0,True,500,2022-Nov-21 @ Time 12:07:48
GiantCelestialBody (2),41.23106,0,50,0,True,500,2022-Nov-21 @ Time 12:07:48
Orb (1),72.28493,14.45699,5,1.261673,False,505,2022-Nov-21 @ Time 12:08:34
Orb,2.60726,0.521452,5,40.51295,True,505,2022-Nov-21 @ Time 12:08:35
Orb (3),7.621034,1.524207,5,24.90831,True,505,2022-Nov-21 @ Time 12:08:35
GiantCelestialBody,105.1092,2.102184,50,23.19238,True,505,2022-Nov-21 @ Time 12:08:35
Orb (2),14.45971,2.891942,5,10.60717,True,505,2022-Nov-21 @ Time 12:08:35
GiantCelestialBody (1),84.71867,1.694373,50,63.22662,True,505,2022-Nov-21 @ Time 12:08:35
GiantCelestialBody (4),168.1455,3.362909,50,11.96846,True,505,2022-Nov-21 @ Time 12:08:35
GiantCelestialBody (3),56.29573,1.125915,50,30.42502,True,505,2022-Nov-21 @ Time 12:08:35
GiantCelestialBody (2),128.6553,2.573106,50,14.02808,True,505,2022-Nov-21 @ Time 12:08:35
GiantCelestialBody (4),644.9321,12.89864,50,1.607966,False,555,2022-Nov-21 @ Time 12:08:37
Orb (2),76.82333,15.36467,5,1.106545,False,560,2022-Nov-21 @ Time 12:08:38
GiantCelestialBody (2),653.2665,13.06533,50,1.647374,False,610,2022-Nov-21 @ Time 12:08:38
Orb,5.54766,1.109532,5,36.85447,True,610,2022-Nov-21 @ Time 12:08:40
Orb (3),18.3022,3.66044,5,13.75779,True,610,2022-Nov-21 @ Time 12:08:40
GiantCelestialBody,276.0549,5.521098,50,8.095456,True,610,2022-Nov-21 @ Time 12:08:40
GiantCelestialBody (1),97.76904,1.955381,50,54.5492,True,610,2022-Nov-21 @ Time 12:08:40
GiantCelestialBody (3),102.2392,2.044784,50,23.97806,True,610,2022-Nov-21 @ Time 12:08:40
GiantCelestialBody,672.5355,13.45071,50,1.743188,False,660,2022-Nov-21 @ Time 12:08:41
Orb (3),81.83638,16.36728,5,1.333129,False,665,2022-Nov-21 @ Time 12:08:42
Orb,9.503997,1.900799,5,29.6871,True,665,2022-Nov-21 @ Time 12:08:45
GiantCelestialBody (1),116.9488,2.338976,50,44.38969,True,665,2022-Nov-21 @ Time 12:08:45
GiantCelestialBody (3),240.1184,4.802368,50,10.3721,True,665,2022-Nov-21 @ Time 12:08:45
Orb,17.99141,3.598282,5,16.93763,True,665,2022-Nov-21 @ Time 12:08:50
GiantCelestialBody (1),147.4568,2.949136,50,32.01253,True,665,2022-Nov-21 @ Time 12:08:50
GiantCelestialBody (3),163.812,3.276241,50,16.14594,True,665,2022-Nov-21 @ Time 12:08:50
Orb,88.27256,17.65451,5,1.213789,False,670,2022-Nov-21 @ Time 12:08:53
GiantCelestialBody (1),226.3054,4.526108,50,15.50312,True,670,2022-Nov-21 @ Time 12:08:55
