Date/Time of contact, Black Hole Mass (in Solar Masss), Radius(km), Gravitational Force (F = G m1m2 / R^2)
2023-Sep-15 @ Time 14:35:22,505,1498009.5,7.50996598531401E-20
2023-Sep-15 @ Time 14:35:25,510,1512841.25,7.43633898593925E-20
2023-Sep-15 @ Time 14:35:27,560,1661159.125,6.77237943487112E-19
2023-Sep-15 @ Time 14:35:32,610,1809476.875,6.21726647961309E-19
2023-Sep-15 @ Time 14:35:38,660,1957794.625,5.74626178030071E-19
2023-Sep-15 @ Time 14:35:52,710,2106112.5,5.34159494907545E-19
