Date/Time of contact, Black Hole Mass (in Solar Masss), Radius(km), Gravitational Force (F = G m1m2 / R^2)
2022-Nov-25 @ Time 13:42:10,505,1.50377765789499E+17,7.45246274027882E-42
2022-Nov-25 @ Time 13:42:13,555,1.65266665058075E+17,6.78106953963627E-41
2022-Nov-25 @ Time 13:42:14,560,1.66755558420906E+17,6.72052369009475E-42
2022-Nov-25 @ Time 13:42:14,610,1.81644440509612E+17,6.16966172764446E-41
2022-Nov-25 @ Time 13:42:17,660,1.96533322598318E+17,5.70226348626892E-41
2022-Nov-25 @ Time 13:42:18,665,1.98022215961149E+17,5.65938892614489E-42
2022-Nov-25 @ Time 13:42:29,670,1.99511109323981E+17,5.61715454415913E-42
