Name, Momentum, Velocity, Mass, Dist->BH, Active, Black Hole Mass, Date/Time
Orb,70.71068,0,5,0,True,500,2023-Jul-21 @ Time 14:07:13
Orb (3),35.35534,0,5,0,True,500,2023-Jul-21 @ Time 14:07:13
GiantCelestialBody,141.4214,0,50,0,True,500,2023-Jul-21 @ Time 14:07:13
Orb (1),28.28427,0,5,0,True,500,2023-Jul-21 @ Time 14:07:13
Orb (2),16.97056,0,5,0,True,500,2023-Jul-21 @ Time 14:07:13
GiantCelestialBody (1),106.066,0,50,0,True,500,2023-Jul-21 @ Time 14:07:13
GiantCelestialBody (4),176.7767,0,50,0,True,500,2023-Jul-21 @ Time 14:07:13
GiantCelestialBody (3),212.132,0,50,0,True,500,2023-Jul-21 @ Time 14:07:13
GiantCelestialBody (2),282.8427,0,50,0,True,500,2023-Jul-21 @ Time 14:07:13
Orb,53.54962,10.70992,5,3.575954,True,500,2023-Jul-21 @ Time 14:07:21
Orb (3),36.98412,7.396823,5,6.44214,True,500,2023-Jul-21 @ Time 14:07:21
GiantCelestialBody,181.9314,3.638629,50,24.64952,True,500,2023-Jul-21 @ Time 14:07:21
Orb (1),28.37986,5.675973,5,10.92444,True,500,2023-Jul-21 @ Time 14:07:21
Orb (2),40.38556,8.077112,5,14.48639,True,500,2023-Jul-21 @ Time 14:07:21
GiantCelestialBody (1),280.7283,5.614565,50,18.0965,True,500,2023-Jul-21 @ Time 14:07:21
GiantCelestialBody (4),193.2433,3.864867,50,37.5343,True,500,2023-Jul-21 @ Time 14:07:21
GiantCelestialBody (3),243.2171,4.864341,50,38.84148,True,500,2023-Jul-21 @ Time 14:07:21
GiantCelestialBody (2),267.1068,5.342136,50,38.97604,True,500,2023-Jul-21 @ Time 14:07:21
Orb,163.0673,32.61347,5,1.156474,False,505,2023-Jul-21 @ Time 14:07:23
Orb (3),62.58342,12.51668,5,8.480559,True,505,2023-Jul-21 @ Time 14:07:26
GiantCelestialBody,562.5386,11.25077,50,6.733263,True,505,2023-Jul-21 @ Time 14:07:26
Orb (1),36.98602,7.397204,5,27.6534,True,505,2023-Jul-21 @ Time 14:07:26
Orb (2),15.86755,3.17351,5,36.24826,True,505,2023-Jul-21 @ Time 14:07:26
GiantCelestialBody (1),286.0347,5.720695,50,21.18942,True,505,2023-Jul-21 @ Time 14:07:26
GiantCelestialBody (4),241.8403,4.836807,50,31.31486,True,505,2023-Jul-21 @ Time 14:07:26
GiantCelestialBody (3),313.456,6.269121,50,29.9521,True,505,2023-Jul-21 @ Time 14:07:26
GiantCelestialBody (2),237.4463,4.748926,50,47.33275,True,505,2023-Jul-21 @ Time 14:07:26
Orb (3),28.71367,5.742733,5,35.12931,True,505,2023-Jul-21 @ Time 14:07:31
GiantCelestialBody,173.0954,3.461909,50,16.19449,True,505,2023-Jul-21 @ Time 14:07:31
Orb (1),17.62831,3.525661,5,53.43308,True,505,2023-Jul-21 @ Time 14:07:31
Orb (2),11.00131,2.200261,5,47.03719,True,505,2023-Jul-21 @ Time 14:07:31
GiantCelestialBody (1),186.6783,3.733565,50,36.8447,True,505,2023-Jul-21 @ Time 14:07:31
GiantCelestialBody (4),349.4416,6.988832,50,22.97456,True,505,2023-Jul-21 @ Time 14:07:31
GiantCelestialBody (3),306.2654,6.125307,50,20.63196,True,505,2023-Jul-21 @ Time 14:07:31
GiantCelestialBody (2),209.8212,4.196424,50,56.5942,True,505,2023-Jul-21 @ Time 14:07:31
Orb (3),19.92188,3.984375,5,55.909,True,505,2023-Jul-21 @ Time 14:07:36
GiantCelestialBody,220.3255,4.406509,50,13.14432,True,505,2023-Jul-21 @ Time 14:07:36
Orb (1),7.713203,1.542641,5,65.5635,True,505,2023-Jul-21 @ Time 14:07:36
Orb (2),18.45302,3.690604,5,61.83737,True,505,2023-Jul-21 @ Time 14:07:36
GiantCelestialBody (1),135.2381,2.704761,50,41.54552,True,505,2023-Jul-21 @ Time 14:07:36
GiantCelestialBody (4),359.4014,7.188028,50,28.96326,True,505,2023-Jul-21 @ Time 14:07:36
GiantCelestialBody (3),373.5517,7.471034,50,15.09058,True,505,2023-Jul-21 @ Time 14:07:36
GiantCelestialBody (2),173.1372,3.462745,50,64.74057,True,505,2023-Jul-21 @ Time 14:07:36
Orb (3),15.49318,3.098635,5,71.22952,True,505,2023-Jul-21 @ Time 14:07:41
GiantCelestialBody,377.7602,7.555204,50,9.821584,True,505,2023-Jul-21 @ Time 14:07:41
Orb (1),1.795222,0.3590444,5,70.01984,True,505,2023-Jul-21 @ Time 14:07:41
Orb (2),18.85856,3.771711,5,76.31231,True,505,2023-Jul-21 @ Time 14:07:41
GiantCelestialBody (1),268.4876,5.369753,50,35.86918,True,505,2023-Jul-21 @ Time 14:07:41
GiantCelestialBody (4),175.3497,3.506995,50,49.74418,True,505,2023-Jul-21 @ Time 14:07:41
GiantCelestialBody (3),273.3694,5.467387,50,21.41932,True,505,2023-Jul-21 @ Time 14:07:41
GiantCelestialBody (2),147.6222,2.952443,50,71.28491,True,505,2023-Jul-21 @ Time 14:07:41
Orb (3),12.52609,2.505218,5,83.17992,True,505,2023-Jul-21 @ Time 14:07:46
GiantCelestialBody,515.7422,10.31485,50,6.799378,True,505,2023-Jul-21 @ Time 14:07:46
Orb (1),3.071915,0.6143829,5,69.35482,True,505,2023-Jul-21 @ Time 14:07:46
Orb (2),18.5739,3.714781,5,87.75128,True,505,2023-Jul-21 @ Time 14:07:46
GiantCelestialBody (1),239.6244,4.792488,50,37.97334,True,505,2023-Jul-21 @ Time 14:07:46
